tracer,redshift,Ntracer,zeff,DM/rd,,DH/rd,,DV/rd,,r,Veff
BGS,0.1-0.4,300017,0.295,0,0,0,0,7.93,0.15,,1.7
LRG,0.4-0.6,506905,0.51,13.62,0.25,20.98,0.61,0,0,-0.445,2.6
LRG,0.6-0.8,771875,0.706,16.85,0.32,20.08,0.6,0,0,-0.42,4
LRG+ELG,0.8-1.1,1876164,0.93,21.71,0.28,17.88,0.35,0,0,-0.389,6.5
ELG,1.1-1.6,1415687,1.317,27.79,0.69,13.82,0.42,0,0,-0.444,2.7
QSO,0.8-2.1,856652,1.491,0,0,0,0,26.07,0.67,,1.5
Lya+QSO,1.77-4.16,709565,2.33,39.71,0.94,8.52,0.17,0,0,-0.477,
MGS,0.07-0.2,63163,0.15,0,0,0,0,4.47,0.17,,0.24
BOSS galaxy,0.2-0.5,604001,0.38,10.23,0.17,25,0.76,0,0,,3.7
BOSS galaxy,0.4-0.6,686370,0.51,13.36,0.21,22.33,0.58,0,0,,4.2
eBOSS LRG,0.6-1.0,377458,0.7,17.86,0.33,19.33,0.53,0,0,,2.7
eBOSS ELG,0.6-1.1,173736,0.85,0,0,0,0,18.33,0.59,,0.6
eBOSS quasar,0.8-2.2,343708,1.48,30.69,0.8,13.26,0.55,0,0,,0.6
Lya-Lya,>2.1,210005,2.33,37.6,1.9,8.93,0.28,0,0,,
Lya-quasar,>1.77,341468,2.33,37.3,1.7,9.08,0.34,0,0,,
