# l                      Dl                        dDl
2.000000000000000000e+00 -1.014107000000000064e-01 9.208370392454245934e-02
3.000000000000000000e+00 -5.835382000000000069e-03 2.182829447634718895e-02
4.000000000000000000e+00 -9.555417999999999551e-03 1.621231910868503254e-02
5.000000000000000000e+00 -1.444399999999999981e-03 1.188675918265777280e-02
6.000000000000000000e+00 -8.196996999999999270e-03 8.950720226365633386e-03
7.000000000000000000e+00 3.713081999999999928e-03 7.876818061285206785e-03
8.000000000000000000e+00 -9.070266000000000439e-03 7.164076943080834904e-03
9.000000000000000000e+00 3.166529999999999866e-03 8.024012270427118704e-03
1.000000000000000000e+01 9.039534999999999584e-03 7.147251390646091294e-03
1.100000000000000000e+01 -5.769673000000000336e-03 9.440526854797888154e-03
1.200000000000000000e+01 5.552661999999999876e-03 8.272491101892560234e-03
1.300000000000000000e+01 2.047242999999999979e-02 1.087118376806857530e-02
1.400000000000000000e+01 3.574172000000000243e-04 1.039648116936465159e-02
1.500000000000000000e+01 -2.910643999999999992e-03 1.146550415275389249e-02
1.600000000000000000e+01 -1.160997000000000071e-02 1.228413360714895181e-02
1.700000000000000000e+01 2.475539000000000125e-03 1.281136112876516721e-02
1.800000000000000000e+01 1.695382000000000139e-02 1.433297389097007435e-02
1.900000000000000000e+01 -8.821024000000000226e-03 1.251927130134618954e-02
2.000000000000000000e+01 7.811671000000000066e-03 1.395144307260737758e-02
2.100000000000000000e+01 6.499915000000000206e-03 1.430961056936712328e-02
2.200000000000000000e+01 -1.547677000000000080e-02 1.498403849597789057e-02
2.300000000000000000e+01 5.524537000000000371e-03 1.337504966731517010e-02
2.400000000000000000e+01 3.322429999999999828e-02 1.482558691441664481e-02
2.500000000000000000e+01 1.007515000000000060e-03 1.789974955396132078e-02
2.600000000000000000e+01 1.944208999999999868e-02 1.809279099601701982e-02
2.700000000000000000e+01 2.065173999999999916e-03 1.871004703728636545e-02
2.800000000000000000e+01 -2.135648999999999881e-02 1.883182274753656890e-02
2.900000000000000000e+01 1.876144000000000076e-02 2.039935178973649801e-02
