# l                      Dl                        dDl
2.000000000000000000e+00 -5.086994000000000238e-02 5.455305537881292161e-02
3.000000000000000000e+00 -6.481698999999999621e-03 2.101993964139267299e-02
4.000000000000000000e+00 -4.789268000000000171e-03 1.333142521257377720e-02
5.000000000000000000e+00 -1.675045000000000006e-02 1.059594911121170512e-02
6.000000000000000000e+00 -5.518611999999999807e-05 7.288982743833068330e-03
7.000000000000000000e+00 -8.716945999999999722e-03 6.600569048597637774e-03
8.000000000000000000e+00 -1.371749000000000059e-02 5.712578083233299867e-03
9.000000000000000000e+00 1.273334000000000098e-03 6.903361741404203875e-03
1.000000000000000000e+01 -5.932268000000000090e-03 6.333203115679027911e-03
1.100000000000000000e+01 3.406522999999999843e-03 6.194718202934875600e-03
1.200000000000000000e+01 5.756713000000000108e-03 6.854703423749423756e-03
1.300000000000000000e+01 -6.782681999999999947e-03 7.168925386396737993e-03
1.400000000000000000e+01 -1.477463000000000040e-03 7.809544520634414781e-03
1.500000000000000000e+01 1.399955999999999944e-02 8.327032353287581318e-03
1.600000000000000000e+01 -2.575090999999999838e-03 8.893890684420296261e-03
1.700000000000000000e+01 -8.019381000000000773e-03 9.282174947577518861e-03
1.800000000000000000e+01 9.972929999999999642e-03 1.052240130297828202e-02
1.900000000000000000e+01 8.362372999999999335e-03 9.924473968911065591e-03
2.000000000000000000e+01 1.070047000000000012e-02 9.932618434827547929e-03
2.100000000000000000e+01 -8.959610999999999270e-03 1.143501397918231591e-02
2.200000000000000000e+01 -2.526136000000000006e-03 1.160225842012902429e-02
2.300000000000000000e+01 1.151535000000000059e-02 1.154771279174475647e-02
2.400000000000000000e+01 -1.190678000000000049e-02 1.194180040021994120e-02
2.500000000000000000e+01 8.276273000000000440e-04 1.252404168028827154e-02
2.600000000000000000e+01 1.940162000000000136e-02 1.335129681075306919e-02
2.700000000000000000e+01 4.114729999999999603e-03 1.423777875373405909e-02
2.800000000000000000e+01 2.474519000000000219e-04 1.472747298995963176e-02
2.900000000000000000e+01 -1.337942999999999945e-02 1.505467883817318206e-02
