z,H(z),H error,Method
0.07,69,19.6,CC
0.09,69,12,CC
0.12,68.6,26.2,CC
0.17,83,8,CC
0.179,75,4,CC
0.199,75,5,CC
0.2,72.9,29.6,CC
0.27,77,14,CC
0.28,88.8,36.6,CC
0.352,83,14,CC
0.38,81.9,1.9,BAO
0.3802,83,13.5,CC
0.4,95,17,CC
0.4004,77,10.2,CC
0.4247,87.1,11.2,CC
0.4497,92.8,12.9,CC
0.47,89,50,CC
0.4783,80.9,9,CC
0.48,97,62,CC
0.51,90.8,1.9,BAO
0.593,104,13,CC
0.61,97.8,2.1,BAO
0.68,92,8,CC
0.781,105,12,CC
0.875,125,17,CC
0.88,90,40,CC
0.9,117,23,CC
1.037,154,20,CC
1.3,168,17,CC
1.363,160,33.6,CC
1.43,177,18,CC
1.53,140,14,CC
1.75,202,40,CC
1.965,186.5,50.4,CC
2.34,223,7,BAO-Lya/QSOs
2.36,227,8,BAO-Lya/QSOs
